Alpha,Trial,Steps,Pings
0.35,70,39,3
0.35,71,101,1
0.35,72,101,0
0.35,73,101,0
0.35,74,83,4
0.35,75,101,5
0.35,76,41,4
0.35,77,101,1
0.35,78,32,4
0.35,79,101,1
0.35,80,101,0
0.35,81,63,7
0.35,82,37,1
0.35,83,101,0
0.35,84,101,0
0.35,85,54,2
0.35,86,97,4
0.35,87,101,2
0.35,88,42,4
0.35,89,79,1
0.35,90,101,4
0.35,91,64,4
0.35,92,101,1
0.35,93,29,6
0.35,94,73,3
0.35,95,59,4
0.35,96,101,0
0.35,97,101,1
0.35,98,101,2
0.35,99,101,0
0.35,100,101,0
0.4,1,101,0
0.4,2,101,0
0.4,3,83,1
0.4,4,101,1
0.4,5,101,0
0.4,6,101,0
0.4,7,35,1
0.4,8,94,9
0.4,9,24,5
0.4,10,68,5
0.4,11,101,0
0.4,12,77,3
0.4,13,101,0
0.4,14,29,4
0.4,15,101,9
0.4,16,101,1
0.4,17,101,4
0.4,18,58,7
0.4,19,101,6
0.4,20,101,0
0.4,21,101,0
0.4,22,101,7
0.4,23,101,0
0.4,24,101,4
0.4,25,48,4
0.4,26,101,1
0.4,27,101,10
0.4,28,101,3
0.4,29,66,4
0.4,30,90,13
0.4,31,38,2
0.4,32,83,4
0.4,33,92,6
0.4,34,100,18
0.4,35,84,5
0.4,36,101,1
0.4,37,7,3
0.4,38,101,6
0.4,39,57,4
0.4,40,101,0
0.4,41,101,1
0.4,42,101,23
0.4,43,78,2
0.4,44,101,8
0.4,45,101,12
0.4,46,61,3
0.4,47,78,2
0.4,48,101,0
0.4,49,101,0
0.4,50,101,0
0.4,51,78,7
0.4,52,57,10
0.4,53,101,1
0.4,54,101,1
0.4,55,87,4
0.4,56,101,3
0.4,57,101,0
0.4,58,101,0
0.4,59,91,18
0.4,60,101,0
0.4,61,100,4
0.4,62,101,0
0.4,63,101,2
0.4,64,101,0
0.4,65,101,8
0.4,66,101,9
0.4,67,101,0
0.4,68,64,0
0.4,69,80,3
0.4,70,101,0
0.4,71,6,1
0.4,72,100,7
0.4,73,101,0
0.4,74,89,5
0.4,75,101,0
0.4,76,21,1
0.4,77,101,7
0.4,78,101,0
0.4,79,80,5
0.4,80,3,1
0.4,81,101,1
0.4,82,78,0
0.4,83,101,0
0.4,84,101,0
0.4,85,101,1
0.4,86,101,0
0.4,87,101,5
0.4,88,88,2
0.4,89,10,1
0.4,90,101,4
0.4,91,101,1
0.4,92,101,4
0.4,93,101,0
0.4,94,75,7
0.4,95,72,1
0.4,96,101,1
0.4,97,101,0
0.4,98,101,0
0.4,99,101,14
0.4,100,101,6
0.45,1,98,0
0.45,2,101,0
0.45,3,51,5
0.45,4,101,0
0.45,5,101,6
0.45,6,1,1
0.45,7,101,2
0.45,8,30,5
0.45,9,101,0
0.45,10,101,0
0.45,11,101,5
0.45,12,65,2
0.45,13,90,2
0.45,14,47,4
0.45,15,57,3
0.45,16,16,2
0.45,17,79,6
0.45,18,101,0
0.45,19,101,1
0.45,20,101,5
0.45,21,101,16
0.45,22,101,3
0.45,23,30,8
0.45,24,27,1
0.45,25,101,0
0.45,26,46,5
0.45,27,101,0
0.45,28,27,7
0.45,29,101,0
0.45,30,101,3
0.45,31,29,0
0.45,32,101,2
0.45,33,101,0
0.45,34,101,7
0.45,35,101,0
0.45,36,46,3
0.45,37,101,0
0.45,38,101,1
0.45,39,88,2
0.45,40,89,8
0.45,41,101,0
0.45,42,101,0
0.45,43,101,0
0.45,44,12,2
0.45,45,2,0
0.45,46,101,0
0.45,47,101,7
0.45,48,101,1
0.45,49,101,0
0.45,50,43,1
0.45,51,44,4
0.45,52,101,0
0.45,53,51,12
0.45,54,79,1
0.45,55,44,5
0.45,56,69,0
0.45,57,101,6
0.45,58,24,3
0.45,59,62,7
0.45,60,101,0
0.45,61,80,1
0.45,62,100,2
0.45,63,101,0
0.45,64,89,9
0.45,65,101,0
0.45,66,46,5
0.45,67,10,2
0.45,68,73,2
0.45,69,19,7
0.45,70,101,0
0.45,71,101,0
0.45,72,101,6
0.45,73,101,0
0.45,74,96,5
0.45,75,100,8
0.45,76,89,4
0.45,77,1,1
0.45,78,72,2
0.45,79,101,0
0.45,80,101,0
0.45,81,18,0
0.45,82,2,1
0.45,83,89,13
0.45,84,79,5
0.45,85,101,0
0.45,86,101,16
0.45,87,101,5
0.45,88,101,0
0.45,89,58,3
0.45,90,55,1
0.45,91,101,6
0.45,92,101,5
0.45,93,19,5
0.45,94,101,0
0.45,95,101,0
0.45,96,101,0
0.45,97,101,3
0.45,98,101,0
0.45,99,101,0
0.45,100,101,0
0.5,1,101,0
0.5,2,101,2
0.5,3,101,0
0.5,4,101,1
0.5,5,101,0
0.5,6,60,1
0.5,7,101,8
0.5,8,101,1
0.5,9,101,0
0.5,10,101,0
0.5,11,101,0
0.5,12,101,1
0.5,13,46,2
0.5,14,19,1
0.5,15,6,1
0.5,16,21,4
0.5,17,95,3
0.5,18,85,2
0.5,19,101,0
0.5,20,101,0
0.5,21,69,1
0.5,22,101,0
0.5,23,101,0
0.5,24,94,1
0.5,25,101,1
0.5,26,101,0
0.5,27,101,0
0.5,28,101,0
0.5,29,101,0
0.5,30,101,0
0.5,31,63,12
0.5,32,33,1
0.5,33,101,0
0.5,34,84,2
0.5,35,101,0
0.5,36,101,0
0.5,37,24,1
0.5,38,47,8
0.5,39,101,0
0.5,40,15,0
0.5,41,74,1
0.5,42,101,0
0.5,43,71,8
0.5,44,101,4
0.5,45,95,2
0.5,46,101,0
0.5,47,41,5
0.5,48,101,0
0.5,49,78,4
0.5,50,101,0
0.5,51,101,2
0.5,52,64,1
0.5,53,101,0
0.5,54,101,0
0.5,55,99,16
0.5,56,101,0
0.5,57,101,8
0.5,58,101,0
0.5,59,101,2
0.5,60,10,1
0.5,61,99,7
0.5,62,101,0
0.5,63,101,5
0.5,64,101,0
0.5,65,101,0
0.5,66,19,1
0.5,67,101,0
0.5,68,101,2
0.5,69,101,0
0.5,70,101,0
0.5,71,49,9
0.5,72,101,0
0.5,73,101,0
0.5,74,99,5
0.5,75,101,3
0.5,76,101,4
0.5,77,101,0
0.5,78,101,0
0.5,79,76,0
0.5,80,48,5
0.5,81,101,0
0.5,82,51,5
0.5,83,101,2
0.5,84,101,0
0.5,85,101,0
0.5,86,101,0
0.5,87,101,0
0.5,88,46,9
0.5,89,101,0
0.5,90,101,0
0.5,91,101,8
0.5,92,54,2
0.5,93,101,0
0.5,94,87,10
0.5,95,71,1
0.5,96,101,3
0.5,97,101,0
0.5,98,63,12
0.5,99,3,2
0.5,100,101,0
0.55,1,101,0
0.55,2,101,0
0.55,3,53,12
0.55,4,101,0
0.55,5,77,3
0.55,6,101,1
0.55,7,60,1
0.55,8,101,0
0.55,9,70,2
0.55,10,101,1
0.55,11,51,0
0.55,12,2,1
0.55,13,101,0
0.55,14,101,0
0.55,15,101,0
0.55,16,42,4
0.55,17,32,1
0.55,18,101,0
0.55,19,101,0
0.55,20,101,1
0.55,21,38,8
0.55,22,101,1
0.55,23,101,0
0.55,24,101,0
0.55,25,101,0
0.55,26,75,5
0.55,27,101,0
0.55,28,15,2
0.55,29,101,1
0.55,30,101,0
0.55,31,72,6
0.55,32,101,0
0.55,33,101,0
0.55,34,101,0
0.55,35,101,0
0.55,36,96,1
0.55,37,101,3
0.55,38,37,2
0.55,39,101,0
0.55,40,101,0
0.55,41,101,5
0.55,42,19,2
0.55,43,101,0
0.55,44,101,5
0.55,45,101,0
0.55,46,101,1
0.55,47,101,3
0.55,48,101,3
