Alpha,Trial,Steps,Pings
0.2,32,68,4
0.2,33,101,2
0.2,34,46,12
0.2,35,101,6
0.2,36,60,8
0.2,37,67,4
0.2,38,79,2
0.2,39,98,12
0.2,40,60,7
0.2,41,23,6
0.2,42,45,10
0.2,43,101,3
0.2,44,23,4
0.2,45,30,14
0.2,46,78,1
0.2,47,51,8
0.2,48,2,1
0.2,49,37,11
0.2,50,91,14
0.2,51,101,12
0.2,52,100,8
0.2,53,42,12
0.2,54,25,6
0.2,55,15,6
0.2,56,27,2
0.2,57,101,12
0.2,58,67,25
0.2,59,24,8
0.2,60,100,11
0.2,61,47,7
0.2,62,101,12
0.2,63,101,20
0.2,64,54,26
0.2,65,101,12
0.2,66,101,0
0.2,67,62,17
0.2,68,89,7
0.2,69,97,30
0.2,70,57,9
0.2,71,58,17
0.2,72,84,10
0.2,73,101,2
0.2,74,47,6
0.2,75,63,10
0.2,76,101,14
0.2,77,54,10
0.2,78,101,9
0.2,79,52,13
0.2,80,101,5
0.2,81,63,10
0.2,82,99,4
0.2,83,55,7
0.2,84,82,4
0.2,85,101,1
0.2,86,101,2
0.2,87,101,5
0.2,88,98,20
0.2,89,78,7
0.2,90,101,13
0.2,91,46,13
0.2,92,54,7
0.2,93,98,8
0.2,94,72,13
0.2,95,36,14
0.2,96,101,7
0.2,97,81,4
0.2,98,29,14
0.2,99,101,18
0.2,100,52,7
0.25,1,6,2
0.25,2,48,5
0.25,3,39,8
0.25,4,11,3
0.25,5,91,13
0.25,6,67,15
0.25,7,36,2
0.25,8,101,2
0.25,9,100,10
0.25,10,84,14
0.25,11,88,14
0.25,12,64,12
0.25,13,96,17
0.25,14,101,5
0.25,15,101,1
0.25,16,101,10
0.25,17,23,8
0.25,18,84,8
0.25,19,91,6
0.25,20,28,4
0.25,21,101,0
0.25,22,21,3
0.25,23,101,3
0.25,24,62,4
0.25,25,101,0
0.25,26,53,2
0.25,27,48,3
0.25,28,89,7
0.25,29,41,6
0.25,30,60,9
0.25,31,24,7
0.25,32,29,12
0.25,33,101,2
0.25,34,40,8
0.25,35,101,4
0.25,36,51,4
0.25,37,85,7
0.25,38,101,3
0.25,39,101,1
0.25,40,101,3
0.25,41,101,0
0.25,42,27,5
0.25,43,73,6
0.25,44,99,4
0.25,45,101,0
0.25,46,72,17
0.25,47,99,5
0.25,48,78,14
0.25,49,101,3
0.25,50,101,6
0.25,51,77,6
0.25,52,41,4
0.25,53,6,2
0.25,54,26,6
0.25,55,78,11
0.25,56,101,3
0.25,57,80,17
0.25,58,73,13
0.25,59,101,2
0.25,60,101,4
0.25,61,101,19
0.25,62,59,2
0.25,63,101,1
0.25,64,56,18
0.25,65,70,7
0.25,66,48,17
0.25,67,101,0
0.25,68,89,9
0.25,69,53,5
0.25,70,49,4
0.25,71,24,6
0.25,72,41,6
0.25,73,78,24
0.25,74,59,18
0.25,75,85,6
0.25,76,54,10
0.25,77,4,3
0.25,78,90,2
0.25,79,80,16
0.25,80,26,8
0.25,81,10,5
0.25,82,77,3
0.25,83,86,9
0.25,84,78,13
0.25,85,101,4
0.25,86,98,6
0.25,87,77,5
0.25,88,29,15
0.25,89,88,5
0.25,90,68,2
0.25,91,101,9
0.25,92,52,3
0.25,93,26,11
0.25,94,75,6
0.25,95,99,5
0.25,96,72,9
0.25,97,80,12
0.25,98,101,7
0.25,99,18,12
0.25,100,97,14
0.3,1,45,4
0.3,2,84,8
0.3,3,101,8
0.3,4,31,8
0.3,5,51,7
0.3,6,60,2
0.3,7,58,4
0.3,8,101,0
0.3,9,101,1
0.3,10,90,4
0.3,11,33,10
0.3,12,101,3
0.3,13,23,5
0.3,14,8,5
0.3,15,71,1
0.3,16,101,6
0.3,17,28,15
0.3,18,101,0
0.3,19,36,4
0.3,20,101,16
0.3,21,98,4
0.3,22,97,8
0.3,23,101,7
0.3,24,63,7
0.3,25,51,11
0.3,26,101,0
0.3,27,99,16
0.3,28,57,10
0.3,29,79,3
0.3,30,50,3
0.3,31,85,3
0.3,32,26,8
0.3,33,84,3
0.3,34,53,11
0.3,35,101,0
0.3,36,93,4
0.3,37,74,7
0.3,38,101,2
0.3,39,54,3
0.3,40,88,6
0.3,41,11,3
0.3,42,101,3
0.3,43,101,1
0.3,44,101,5
0.3,45,82,7
0.3,46,101,5
0.3,47,101,2
0.3,48,89,14
0.3,49,60,10
0.3,50,99,15
0.3,51,101,0
0.3,52,93,3
0.3,53,101,0
0.3,54,27,5
0.3,55,52,20
0.3,56,101,7
0.3,57,101,2
0.3,58,61,4
0.3,59,101,5
0.3,60,101,0
0.3,61,58,12
0.3,62,76,16
0.3,63,83,4
0.3,64,30,1
0.3,65,101,4
0.3,66,101,0
0.3,67,75,7
0.3,68,89,6
0.3,69,101,0
0.3,70,87,5
0.3,71,101,0
0.3,72,62,4
0.3,73,101,2
0.3,74,31,4
0.3,75,101,0
0.3,76,101,0
0.3,77,101,3
0.3,78,7,4
0.3,79,73,5
0.3,80,59,12
0.3,81,60,9
0.3,82,63,4
0.3,83,89,3
0.3,84,97,18
0.3,85,101,1
0.3,86,86,8
0.3,87,94,2
0.3,88,67,6
0.3,89,28,0
0.3,90,83,2
0.3,91,84,1
0.3,92,22,7
0.3,93,1,1
0.3,94,28,3
0.3,95,101,1
0.3,96,101,0
0.3,97,101,0
0.3,98,39,2
0.3,99,84,6
0.3,100,93,9
0.35,1,87,2
0.35,2,7,2
0.35,3,101,16
0.35,4,49,5
0.35,5,48,9
0.35,6,101,0
0.35,7,101,0
0.35,8,101,1
0.35,9,101,2
0.35,10,99,5
0.35,11,101,0
0.35,12,85,10
0.35,13,101,0
0.35,14,22,7
0.35,15,46,6
0.35,16,37,3
0.35,17,101,0
0.35,18,101,3
0.35,19,76,4
0.35,20,101,0
0.35,21,36,3
0.35,22,101,1
0.35,23,101,0
0.35,24,101,2
0.35,25,101,1
0.35,26,61,8
0.35,27,101,2
0.35,28,101,1
0.35,29,101,4
0.35,30,45,4
0.35,31,101,0
0.35,32,95,13
0.35,33,101,0
0.35,34,101,0
0.35,35,61,8
0.35,36,101,4
0.35,37,75,23
0.35,38,61,2
0.35,39,41,3
0.35,40,95,6
0.35,41,63,5
0.35,42,75,6
0.35,43,51,4
0.35,44,63,3
0.35,45,20,3
