Alpha,Trial,Steps,Pings
0.9,54,170,3
0.9,55,248,0
0.9,56,224,0
0.9,57,18,0
0.9,58,120,3
0.9,59,302,4
0.9,60,9,0
0.9,61,341,1
0.9,62,247,1
0.9,63,290,0
0.9,64,138,2
0.9,65,31,3
0.9,66,81,2
0.9,67,125,0
0.9,68,117,0
0.9,69,287,1
0.9,70,157,3
0.9,71,725,5
0.9,72,850,5
0.9,73,226,8
0.9,74,781,7
0.9,75,99,0
0.9,76,249,0
0.9,77,53,2
0.9,78,682,2
0.9,79,5,0
0.9,80,145,0
0.9,81,666,0
0.9,82,270,0
0.9,83,128,2
0.9,84,52,1
0.9,85,112,0
0.9,86,34,2
0.9,87,96,0
0.9,88,99,4
0.9,89,135,1
0.9,90,100,2
0.9,91,23,5
0.9,92,333,10
0.9,93,407,12
0.9,94,64,4
0.9,95,80,3
0.9,96,146,2
0.9,97,391,1
0.9,98,402,2
0.9,99,670,1
0.9,100,9,1
1.0,1,107,2
1.0,2,66,4
1.0,3,310,3
1.0,4,26,1
1.0,5,109,0
1.0,6,105,1
1.0,7,6,0
1.0,8,107,1
1.0,9,187,0
1.0,10,73,4
1.0,11,46,0
1.0,12,357,2
1.0,13,299,0
1.0,14,40,3
1.0,15,316,1
1.0,16,91,0
1.0,17,117,2
1.0,18,119,0
1.0,19,99,1
1.0,20,14,0
1.0,21,181,3
1.0,22,247,0
1.0,23,1,1
1.0,24,62,2
1.0,25,630,2
1.0,26,190,2
1.0,27,83,3
1.0,28,259,8
1.0,29,202,6
1.0,30,1001,7
1.0,31,91,2
1.0,32,354,1
1.0,33,155,1
1.0,34,103,1
1.0,35,200,0
1.0,36,5,1
1.0,37,167,0
1.0,38,97,0
1.0,39,75,1
1.0,40,125,0
1.0,41,51,3
1.0,42,232,0
1.0,43,217,0
1.0,44,163,0
1.0,45,100,0
1.0,46,93,0
1.0,47,49,1
1.0,48,372,1
1.0,49,696,1
1.0,50,167,0
1.0,51,59,1
1.0,52,155,5
1.0,53,154,2
1.0,54,1,0
1.0,55,54,1
1.0,56,17,0
1.0,57,91,0
1.0,58,326,1
1.0,59,321,1
1.0,60,194,3
1.0,61,80,0
1.0,62,125,1
1.0,63,731,0
1.0,64,321,2
1.0,65,993,10
1.0,66,200,0
1.0,67,421,3
1.0,68,46,4
1.0,69,290,7
1.0,70,80,0
1.0,71,468,0
1.0,72,42,0
1.0,73,220,1
1.0,74,383,0
1.0,75,76,0
1.0,76,68,0
1.0,77,106,1
1.0,78,204,2
1.0,79,899,2
1.0,80,89,8
1.0,81,330,5
1.0,82,23,1
1.0,83,5,0
1.0,84,261,2
1.0,85,33,0
1.0,86,85,8
1.0,87,532,2
1.0,88,22,1
1.0,89,123,5
1.0,90,71,6
1.0,91,47,5
1.0,92,776,6
1.0,93,212,2
1.0,94,365,7
1.0,95,111,6
1.0,96,80,2
1.0,97,131,8
1.0,98,343,1
1.0,99,220,2
1.0,100,31,2
